date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,14:00,Scotland,Faroe Islands,,,,,/report/u16-h-freundschaft-2023-september-schottland-faeroeer/
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,15:00,Denmark,Portugal,,,,,
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,17:00,Spain,Italy,,,,,
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,17:00,Poland,Switzerland,,,,,/report/u16-h-freundschaft-2023-september-polen-schweiz/
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,18:00,Belgium,Turkey,,,,,
2023-09-19,UEFA,Champions League 2023/2024,Group E,/schedule/champions-league-2023-2024-gruppe-e/0/,20:00,Lazio Roma,Atlético Madrid,,,,,/report/champions-league-2023-2024-gruppe-e-lazio-roma-atletico-madrid/liveticker/
2023-09-19,UEFA,Champions League 2023/2024,Group E,/schedule/champions-league-2023-2024-gruppe-e/0/,20:00,Feyenoord,Celtic FC,,,,,/report/champions-league-2023-2024-gruppe-e-feyenoord-celtic-fc/liveticker/
2023-09-19,UEFA,Champions League 2023/2024,Group F,/schedule/champions-league-2023-2024-gruppe-f/0/,17:45,AC Milan,Newcastle United,,,,,/report/champions-league-2023-2024-gruppe-f-ac-milan-newcastle-united/liveticker/
2023-09-19,UEFA,Champions League 2023/2024,Group F,/schedule/champions-league-2023-2024-gruppe-f/0/,20:00,Paris Saint-Germain,Borussia Dortmund,,,,,/report/champions-league-2023-2024-gruppe-f-paris-saint-germain-borussia-dortmund/liveticker/
2023-09-19,UEFA,Champions League 2023/2024,Group G,/schedule/champions-league-2023-2024-gruppe-g/0/,17:45,BSC Young Boys,RB Leipzig,,,,,/report/champions-league-2023-2024-gruppe-g-bsc-young-boys-rb-leipzig/liveticker/
2023-09-19,UEFA,Champions League 2023/2024,Group G,/schedule/champions-league-2023-2024-gruppe-g/0/,20:00,Manchester City,Crvena Zvezda,,,,,/report/champions-league-2023-2024-gruppe-g-manchester-city-crvena-zvezda/liveticker/
2023-09-19,UEFA,Champions League 2023/2024,Group H,/schedule/champions-league-2023-2024-gruppe-h/0/,20:00,FC Barcelona,Royal Antwerp FC,,,,,/report/champions-league-2023-2024-gruppe-h-fc-barcelona-royal-antwerp-fc/liveticker/
2023-09-19,UEFA,Champions League 2023/2024,Group H,/schedule/champions-league-2023-2024-gruppe-h/0/,20:00,Shakhtar Donetsk,FC Porto,,,,,/report/champions-league-2023-2024-gruppe-h-shakhtar-donetsk-fc-porto/liveticker/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group E,/schedule/a-junioren-youth-league-2023-2024-gruppe-e/0/,13:00,Lazio Roma,Atlético Madrid,,,,,/report/a-junioren-youth-league-2023-2024-gruppe-e-lazio-roma-atletico-madrid/liveticker/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group E,/schedule/a-junioren-youth-league-2023-2024-gruppe-e/0/,14:00,Feyenoord,Celtic FC,,,,,/report/a-junioren-youth-league-2023-2024-gruppe-e-feyenoord-celtic-fc/liveticker/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group F,/schedule/a-junioren-youth-league-2023-2024-gruppe-f/0/,13:00,AC Milan,Newcastle United,,,,,/report/a-junioren-youth-league-2023-2024-gruppe-f-ac-milan-newcastle-united/liveticker/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group F,/schedule/a-junioren-youth-league-2023-2024-gruppe-f/0/,15:00,Paris Saint-Germain,Borussia Dortmund,,,,,/report/a-junioren-youth-league-2023-2024-gruppe-f-paris-saint-germain-borussia-dortmund/liveticker/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group G,/schedule/a-junioren-youth-league-2023-2024-gruppe-g/0/,13:30,BSC Young Boys,RB Leipzig,,,,,/report/a-junioren-youth-league-2023-2024-gruppe-g-bsc-young-boys-rb-leipzig/liveticker/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group G,/schedule/a-junioren-youth-league-2023-2024-gruppe-g/0/,15:00,Manchester City,Crvena Zvezda,,,,,/report/a-junioren-youth-league-2023-2024-gruppe-g-manchester-city-crvena-zvezda/liveticker/
