date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
2023-09-11 16:30:00,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,11:30,Myanmar,Nepal,1:00,0:00,1.0,0.0,
2023-09-11 16:30:00,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,13:00,Hong Kong,Brunei,10:00,3:00,10.0,0.0,/report/freundschaft-2023-september-hongkong-brunei/
2023-09-11 16:30:00,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,13:00,Cambodia,Macao,4:00,3:00,4.0,0.0,
2023-09-11 16:30:00,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,13:30,Vietnam,Palestine,2:00,0:00,2.0,0.0,
2023-09-11 16:30:00,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,17:00,Kyrgyzstan,Kuwait,3:01,,3.0,1.0,
2023-09-11 16:30:00,FIFA,U21 Friendlies 2023,September,/schedule/u21-h-freundschaft-2023-september/0/,14:00,Uzbekistan,Russia,0:02,,0.0,2.0,
2023-09-11 16:30:00,FIFA,U21 Friendlies 2023,September,/schedule/u21-h-freundschaft-2023-september/0/,17:00,Denmark,Slovakia,0:02,0:00,0.0,2.0,/report/u21-h-freundschaft-2023-september-daenemark-slowakei/
2023-09-11 16:30:00,FIFA,U20 Friendlies 2023,September,/schedule/u20-h-freundschaft-2023-september/0/,15:15,Poland,Germany,1:01,1:01,1.0,1.0,/report/u20-h-freundschaft-2023-september-polen-deutschland/
2023-09-11 16:30:00,FIFA,U20 Friendlies 2023,September,/schedule/u20-h-freundschaft-2023-september/0/,16:00,Czech Republic,Italy,0:01,0:00,0.0,1.0,
2023-09-11 16:30:00,FIFA,U20 Friendlies 2023,September,/schedule/u20-h-freundschaft-2023-september/0/,17:00,Denmark,France,1:03,1:01,1.0,3.0,/report/u20-h-freundschaft-2023-september-daenemark-frankreich_2/
