date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,14:00,Scotland,Faroe Islands,,,,,/report/u16-h-freundschaft-2023-september-schottland-faeroeer/
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,15:00,Denmark,Portugal,2:0,1:0,2.0,0.0,/report/u16-h-freundschaft-2023-september-daenemark-portugal/
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,17:00,Spain,Italy,2:1,1:1,2.0,1.0,/report/u16-h-freundschaft-2023-september-spanien-italien/
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,17:00,Poland,Switzerland,0:2,0:0,0.0,2.0,/report/u16-h-freundschaft-2023-september-polen-schweiz/
2023-09-19,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,18:00,Belgium,Turkey,2:1,0:0,2.0,1.0,/report/u16-h-freundschaft-2023-september-belgien-tuerkei/
2023-09-19,UEFA,Champions League 2023/2024,Group E,/schedule/champions-league-2023-2024-gruppe-e/0/,20:00,Lazio Roma,Atlético Madrid,1:1,0:1,1.0,1.0,/report/champions-league-2023-2024-gruppe-e-lazio-roma-atletico-madrid/
2023-09-19,UEFA,Champions League 2023/2024,Group E,/schedule/champions-league-2023-2024-gruppe-e/0/,20:00,Feyenoord,Celtic FC,2:0,1:0,2.0,0.0,/report/champions-league-2023-2024-gruppe-e-feyenoord-celtic-fc/
2023-09-19,UEFA,Champions League 2023/2024,Group F,/schedule/champions-league-2023-2024-gruppe-f/0/,17:45,AC Milan,Newcastle United,0:0,0:0,0.0,0.0,/report/champions-league-2023-2024-gruppe-f-ac-milan-newcastle-united/
2023-09-19,UEFA,Champions League 2023/2024,Group F,/schedule/champions-league-2023-2024-gruppe-f/0/,20:00,Paris Saint-Germain,Borussia Dortmund,2:0,0:0,2.0,0.0,/report/champions-league-2023-2024-gruppe-f-paris-saint-germain-borussia-dortmund/
2023-09-19,UEFA,Champions League 2023/2024,Group G,/schedule/champions-league-2023-2024-gruppe-g/0/,17:45,BSC Young Boys,RB Leipzig,1:3,1:1,1.0,3.0,/report/champions-league-2023-2024-gruppe-g-bsc-young-boys-rb-leipzig/
2023-09-19,UEFA,Champions League 2023/2024,Group G,/schedule/champions-league-2023-2024-gruppe-g/0/,20:00,Manchester City,Crvena Zvezda,3:1,0:1,3.0,1.0,/report/champions-league-2023-2024-gruppe-g-manchester-city-crvena-zvezda/
2023-09-19,UEFA,Champions League 2023/2024,Group H,/schedule/champions-league-2023-2024-gruppe-h/0/,20:00,FC Barcelona,Royal Antwerp FC,5:0,3:0,5.0,0.0,/report/champions-league-2023-2024-gruppe-h-fc-barcelona-royal-antwerp-fc/
2023-09-19,UEFA,Champions League 2023/2024,Group H,/schedule/champions-league-2023-2024-gruppe-h/0/,20:00,Shakhtar Donetsk,FC Porto,1:3,1:3,1.0,3.0,/report/champions-league-2023-2024-gruppe-h-shakhtar-donetsk-fc-porto/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group E,/schedule/a-junioren-youth-league-2023-2024-gruppe-e/0/,13:00,Lazio Roma,Atlético Madrid,0:2,0:0,0.0,2.0,/report/a-junioren-youth-league-2023-2024-gruppe-e-lazio-roma-atletico-madrid/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group E,/schedule/a-junioren-youth-league-2023-2024-gruppe-e/0/,14:00,Feyenoord,Celtic FC,3:0,1:0,3.0,0.0,/report/a-junioren-youth-league-2023-2024-gruppe-e-feyenoord-celtic-fc/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group F,/schedule/a-junioren-youth-league-2023-2024-gruppe-f/0/,13:00,AC Milan,Newcastle United,4:0,3:0,4.0,0.0,/report/a-junioren-youth-league-2023-2024-gruppe-f-ac-milan-newcastle-united/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group F,/schedule/a-junioren-youth-league-2023-2024-gruppe-f/0/,15:00,Paris Saint-Germain,Borussia Dortmund,0:1,0:1,0.0,1.0,/report/a-junioren-youth-league-2023-2024-gruppe-f-paris-saint-germain-borussia-dortmund/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group G,/schedule/a-junioren-youth-league-2023-2024-gruppe-g/0/,13:30,BSC Young Boys,RB Leipzig,1:3,1:1,1.0,3.0,/report/a-junioren-youth-league-2023-2024-gruppe-g-bsc-young-boys-rb-leipzig/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group G,/schedule/a-junioren-youth-league-2023-2024-gruppe-g/0/,15:00,Manchester City,Crvena Zvezda,5:2,1:0,5.0,2.0,/report/a-junioren-youth-league-2023-2024-gruppe-g-manchester-city-crvena-zvezda/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group H,/schedule/a-junioren-youth-league-2023-2024-gruppe-h/0/,12:00,Shakhtar Donetsk,FC Porto,1:4,0:3,1.0,4.0,/report/a-junioren-youth-league-2023-2024-gruppe-h-shakhtar-donetsk-fc-porto/
